diff_len,diff_word,start_word,common,fuzz_ratio,fuzz_sort_ratio,jaccard,word_share,q1_noun,q2_noun,q1_verb,q2_verb,q1_adj,q2_adj,q1_adverb,q2_adverb,q1_conj,q2_conj,q1_pronoun,q2_pronoun,q1_prepo,q2_prepo,manhatten,cos_sim,euclidean,target
-27,1,0,7,29,45,0.111111111,0.35,3,1,1,1,2,2,0,0,0,0,1,1,2,1,3.093268533,0.5805211,0.915946396,0
-19,3,1,6,35,36,0.2,0.277777778,6,3,0,0,2,2,0,0,1,0,0,0,0,1,3.679896301,0.243147557,1.230327146,1
-56,-3,1,6,21,23,0.066666667,0.666666667,0,1,2,2,1,0,1,1,0,0,0,0,0,1,1.288211991,0.816131755,0.606412806,0
-35,-1,1,7,25,21,0.6,0.583333333,3,3,2,2,1,2,0,0,0,0,0,0,0,0,1.102875621,0.849993022,0.547735298,0
-22,1,0,5,23,23,0.090909091,0.266666667,3,3,1,2,1,0,0,0,0,0,0,0,0,1,2.515312337,0.544372122,0.954597169,1
-54,-3,1,5,32,34,0.6,0.416666667,1,1,0,0,0,1,1,1,0,0,0,1,0,0,3.017717951,0.441605409,1.056782467,1
-39,-1,0,3,32,24,0.5,0.214285714,1,1,0,1,0,1,1,0,0,0,1,1,1,1,3.043969851,0.5639554,0.933857162,1
-43,3,1,4,34,35,0.75,0.571428571,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1.497780244,0.765137867,0.685364331,0
9,9,0,0,40,30,0.153846154,0,4,1,1,0,2,1,3,1,0,0,0,0,3,1,6.853678965,0,1.414213562,0
-55,-4,1,6,34,37,0.090909091,0.6,1,2,0,0,0,1,0,0,0,0,0,0,1,2,2.128761327,0.679413126,0.800733256,0
-42,1,1,5,26,28,0.6,0.833333333,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
-53,-2,1,6,13,22,0.777777778,0.75,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0.879145847,0.883243839,0.483231128,1
17,7,0,5,28,20,0,0.25,5,4,1,0,2,2,0,0,0,0,0,0,0,0,4.262946125,0.386929994,1.107312066,1
-17,-3,1,16,30,38,0.2,0.833333333,3,4,2,2,0,0,0,0,1,1,0,0,1,2,1.022446042,0.93085277,0.371879631,1
23,-9,0,8,13,32,0.25,0.139534884,5,5,1,1,1,2,0,1,0,1,0,2,3,5,6.274959906,0.1584923,1.297310834,0
-55,2,0,2,29,24,0.307692308,0.25,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1.844682025,0.591221544,0.904188538,0
-28,-5,1,6,21,30,0.285714286,0.178571429,4,6,2,2,0,0,0,0,0,1,0,0,3,2,5.675545173,0.244071945,1.229575581,0
-44,-4,0,2,31,33,0.3,0.111111111,2,1,2,1,0,1,0,0,0,0,0,0,1,1,4.666067161,0.251215701,1.223751853,0
-62,-6,1,7,25,24,0,0.454545455,2,3,0,0,0,0,0,1,0,0,0,0,1,2,1.522375507,0.791090417,0.64638933,1
61,14,0,7,36,42,0.142857143,0.081081081,6,5,1,2,2,1,0,1,2,0,1,0,4,0,6.735819102,0.175031759,1.284498533,0
-13,-3,0,5,39,37,1,0.227272727,4,3,0,2,2,3,0,0,0,0,0,1,1,0,4.666070611,0.258647067,1.217664103,0
38,5,0,9,30,42,0.181818182,0.25,6,6,2,2,2,2,1,1,1,1,1,1,3,1,5.904232546,0.295566554,1.186956988,0
-58,-4,1,3,25,20,0,0.272727273,1,0,0,1,1,2,0,1,0,0,0,0,0,0,3.457919271,0.306070595,1.178074196,0
-11,-1,1,7,36,45,0.733333333,0.318181818,3,4,0,0,2,1,0,0,0,0,0,0,3,3,3.388191889,0.47860725,1.021168693,1
-43,4,0,4,22,28,0,0.4,1,1,2,1,0,0,1,0,0,0,0,0,1,1,2.156382314,0.57975261,0.916785024,1
39,0,1,27,26,33,0.333333333,0.555555556,2,2,1,1,2,3,0,0,1,1,0,0,2,2,1.758977338,0.785155963,0.655505969,1
-32,0,1,5,46,36,0.5,0.454545455,3,2,0,1,0,0,0,0,1,1,0,0,1,1,2.337669989,0.415420723,1.081276355,0
-40,0,1,7,33,37,0,0.636363636,3,2,0,0,0,1,0,0,0,0,0,0,1,1,1.750642534,0.626873763,0.86385906,1
-23,0,1,11,42,33,0,0.846153846,2,2,0,0,2,2,0,0,0,0,0,0,1,1,0,1,0,0
-31,-5,0,6,33,30,0,0.25,3,7,0,1,0,0,0,0,0,1,0,0,1,2,3.792374135,0.512338844,0.987584078,0
0,-11,1,7,27,18,0.166666667,0.233333333,4,3,0,2,3,1,0,1,0,0,0,2,2,2,5.169249534,0.402307274,1.093336842,0
-33,0,1,4,36,41,0.375,0.25,0,1,0,0,2,1,0,1,0,0,0,1,2,0,3.946974771,0.318107128,1.167812376,1
-62,-2,1,2,27,26,0.3,0.25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2.762106476,0.318482212,1.167491146,1
-43,-4,1,3,28,33,0.166666667,0.230769231,1,1,0,0,1,2,0,0,0,0,0,0,1,2,3.089031995,0.464391569,1.034996069,0
-60,0,1,4,14,25,1,0.666666667,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.634442105,0.911010848,0.42187475,1
-30,2,0,1,32,34,0.363636364,0.058823529,3,1,1,0,0,1,0,0,0,0,1,0,2,0,4.787648377,0.144685029,1.307910525,0
-55,2,0,2,22,30,0.75,0.25,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2.670508526,0.469353946,1.030190326,0
83,9,1,17,18,28,1,0.225,7,8,2,1,3,1,0,0,1,1,0,0,2,1,5.425316808,0.433112813,1.064788417,0
-28,-1,0,3,31,30,0,0.08,2,1,0,3,1,2,1,0,0,0,0,0,2,1,5.652387971,0.13732506,1.313525744,0
15,9,1,10,33,43,0.076923077,0.380952381,4,3,2,1,1,1,1,1,1,1,0,0,2,1,3.312998782,0.601245301,0.893033817,1
-37,1,0,3,34,35,0,0.214285714,2,0,1,2,0,1,0,0,0,0,0,0,1,0,3.0901249,0.45378389,1.045194824,0
-2,-1,0,14,27,37,1,0.24,3,3,0,0,1,2,0,1,1,0,0,0,2,2,3.793639255,0.521361829,0.978404998,0
-46,0,1,5,37,31,0,0.454545455,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2.346908976,0.512587927,0.987331831,0
-38,0,0,9,24,36,0.777777778,0.428571429,2,3,2,1,1,0,0,0,0,0,0,0,1,1,1.629743555,0.770445876,0.677575272,1
-18,-3,0,5,23,42,0.166666667,0.227272727,2,5,0,1,2,2,1,0,0,1,0,0,2,2,4.852519636,0.248585288,1.225899435,0
-48,3,0,0,29,23,0.444444444,0,2,0,1,2,0,0,1,0,0,0,1,0,1,0,4.457975016,0,1.414213562,0
-42,0,1,7,35,39,1,0.777777778,3,3,0,0,0,0,0,0,1,1,0,0,1,1,0.241755636,0.98088508,0.195524525,1
-31,-1,1,8,34,27,1,0.727272727,3,5,0,0,2,1,0,0,0,0,0,0,1,1,0.710634885,0.897310215,0.453188228,0
-20,-12,0,6,28,36,0.111111111,0.214285714,4,7,0,0,0,5,0,0,0,0,0,0,2,3,4.884724006,0.255195472,1.220495414,0
-34,1,1,6,22,37,0.777777778,0.666666667,1,1,2,2,1,0,0,0,0,0,0,0,1,1,1.533608669,0.677981381,0.802519307,0
-40,-2,0,13,29,42,1,0.666666667,2,2,0,0,2,2,0,0,0,0,0,0,1,1,0.516678441,0.965297361,0.263448816,0
-39,-2,0,1,35,24,0.285714286,0.052631579,3,3,2,0,1,1,0,1,0,1,1,0,0,1,5.070199871,0.146197955,1.306753263,0
-57,-1,0,4,35,30,0.6,0.444444444,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1.681888107,0.676997494,0.803744369,1
-43,-4,0,3,23,38,0.214285714,0.2,3,2,0,2,0,1,0,0,0,1,0,1,1,1,3.857097263,0.362027448,1.129577401,0
-34,9,1,6,22,34,0,0.307692308,0,0,1,1,2,0,0,0,1,0,3,1,0,0,2.322199225,0.660563083,0.823938004,0
-9,-9,1,7,31,36,0.111111111,0.193548387,0,2,1,1,0,4,0,0,0,2,0,1,1,3,5.742462064,0.299407625,1.183716499,0
-33,-4,0,4,33,41,0.214285714,0.142857143,1,1,1,1,1,1,0,0,0,1,1,1,1,1,4.764052187,0.283770357,1.196853912,0
1,1,1,16,21,36,1,0.722222222,2,1,0,0,0,0,1,1,0,0,0,0,2,2,1.079408646,0.851290777,0.54536084,0
-19,6,0,3,29,37,0.538461538,0.142857143,2,1,1,0,2,0,0,0,1,0,0,0,1,0,3.938264774,0.268705934,1.2093751,0
-37,-5,0,3,34,36,0.545454545,0.166666667,2,2,0,3,1,0,0,0,0,0,0,0,1,2,3.941504798,0.375967051,1.117168698,1
-20,-2,0,3,38,41,0,0.083333333,4,2,0,1,1,3,0,0,1,0,0,0,1,3,5.317221827,0.233128984,1.238443391,0
-37,-1,1,5,28,30,1,0.5,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1.978036844,0.585412362,0.910590619,1
-41,0,1,6,41,42,0.2,0.454545455,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2.038004851,0.601200198,0.89308432,0
-42,-4,0,0,42,42,0.1,0,2,3,0,1,1,1,0,0,0,0,0,0,0,0,5.223194355,0,1.414213562,0
7,11,1,5,32,34,0.666666667,0.277777778,7,2,2,2,1,0,0,0,0,0,0,0,2,0,3.928612555,0.468489759,1.031028846,1
-52,0,1,6,35,39,0.333333333,0.555555556,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1.931863916,0.516127803,0.983740004,0
-20,5,0,6,16,28,0.571428571,0.461538462,3,2,3,2,0,0,0,0,0,0,1,0,1,0,2.526040149,0.654871387,0.830817204,1
9,2,0,8,40,42,0.153846154,0.212121212,4,6,2,1,1,2,0,0,1,0,1,2,3,3,5.4091366,0.288977231,1.192495509,0
-54,-1,1,5,24,34,0.666666667,0.5,3,4,1,1,0,0,0,0,0,0,0,0,1,1,2.348682673,0.488252625,1.011679173,0
-55,0,1,1,36,23,0.714285714,0.111111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.470326447,0.040138239,1.385540877,0
-55,-1,0,0,17,16,0.066666667,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,4.531983315,0,1.414213562,0
-47,1,1,4,22,28,0.375,0.363636364,3,1,1,2,0,0,1,0,0,0,0,1,0,0,2.106944803,0.627937082,0.862627286,0
-28,5,0,5,22,35,0.333333333,0.266666667,0,0,1,0,2,0,0,1,0,0,1,0,1,0,3.046563923,0.568782136,0.928674178,0
-17,4,1,5,37,35,0.25,0.333333333,3,2,0,0,0,0,0,0,1,0,0,0,1,0,3.039106209,0.412407653,1.084059359,0
-57,0,1,4,33,32,0.090909091,0.666666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.238031207,0.690925054,0.786225089,1
-36,0,1,6,31,36,0,0.5,0,1,1,1,2,1,0,1,1,1,1,1,1,1,2.007860838,0.646997684,0.840240818,1
-15,2,0,5,19,32,0,0.384615385,3,1,0,0,2,1,0,0,2,0,0,0,1,2,2.767089684,0.564545133,0.933225446,0
-58,-26,0,8,21,29,0.333333333,0.111111111,2,6,0,1,1,1,0,3,0,2,0,0,1,4,5.006526385,0.448521213,1.05021787,0
-46,2,1,4,35,26,0.428571429,0.5,2,2,0,0,1,0,0,0,0,0,0,0,1,1,1.312602277,0.791594457,0.645609081,0
-50,-20,1,6,31,28,0.2,0.185185185,2,8,0,1,0,1,0,0,0,1,0,2,1,6,4.742097261,0.34454979,1.144945597,0
-51,-1,0,1,33,35,1,0.083333333,0,1,0,2,1,1,0,0,0,0,0,0,1,0,3.547814229,0.201063804,1.264069773,0
-34,1,0,1,32,34,0.230769231,0.055555556,3,2,0,0,2,0,0,0,1,0,0,0,0,1,5.347164854,0.023041348,1.39782592,0
-58,-2,1,7,21,34,0.6,0.75,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0.761706315,0.874329768,0.501338673,1
9,8,0,5,28,36,0.142857143,0.153846154,3,2,2,0,3,2,0,0,0,0,2,0,1,2,4.847363857,0.364412526,1.127463945,1
-25,0,1,9,19,28,0.6,0.818181818,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0.741718985,0.862463237,0.524474524,0
-46,-3,0,1,35,34,0.076923077,0.0625,1,2,1,0,0,1,0,1,0,0,1,0,0,2,4.422475716,0.16773788,1.290164424,0
38,2,1,10,20,24,0.375,0.294117647,2,1,1,1,2,2,1,0,0,0,1,0,3,4,5.39864383,0.299130698,1.183950423,0
-26,-1,1,7,37,31,0.142857143,0.35,2,4,2,2,0,1,1,0,0,0,1,1,1,1,3.860243818,0.332126717,1.155745026,0
-13,3,0,3,20,34,0.090909091,0.136363636,3,4,0,2,2,0,1,0,0,0,0,0,2,2,4.558744542,0.307688163,1.176700333,0
-51,-7,0,0,25,30,0.25,0,1,3,0,0,1,2,0,0,0,0,0,0,0,2,5.714650277,0,1.414213562,0
-47,0,1,5,21,34,0.307692308,0.454545455,0,1,2,2,1,1,0,0,0,0,0,1,1,1,1.847960212,0.631651649,0.858310376,0
-50,-7,1,8,36,35,0.111111111,0.4375,1,2,1,1,1,3,0,0,0,0,0,0,1,2,2.640051203,0.616286138,0.876029523,1
-38,-3,1,5,42,33,0.636363636,0.357142857,3,2,1,1,0,0,0,0,0,1,0,1,1,1,2.665109301,0.614592006,0.877961268,0
-64,-2,1,1,19,13,0,0.111111111,0,1,0,2,1,0,0,0,0,0,1,0,0,0,3.475096614,0.061706621,1.369885673,0
-51,-7,0,4,23,12,0.181818182,0.266666667,1,3,2,2,1,1,1,0,0,0,0,1,0,2,3.774546778,0.425259994,1.072138057,0
31,4,0,6,32,35,0.230769231,0.2,5,3,2,3,1,0,3,1,0,1,0,2,2,2,5.366230479,0.388939233,1.105496058,1
-36,2,0,2,28,30,0,0.111111111,2,3,2,1,1,0,0,0,0,0,1,0,1,1,4.323632024,0.319256423,1.166827817,0
-17,5,0,5,40,35,0.583333333,0.266666667,1,1,0,2,1,0,0,0,0,0,0,0,2,0,3.063522179,0.503456547,0.996537459,1
-46,-2,1,5,21,32,1,0.454545455,2,2,1,0,0,0,0,0,0,0,0,0,1,1,2.473114754,0.475969786,1.023748225,1
-51,-1,1,5,40,35,0,0.5,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1.972157819,0.632242688,0.857621493,1
56,-10,0,10,18,23,0.222222222,0.142857143,13,9,0,4,3,1,0,1,0,1,0,0,3,4,7.276889574,0.207350588,1.259086504,0
-40,-1,1,5,33,42,1,0.5,1,1,0,1,1,1,0,0,0,0,0,0,1,1,2.021568812,0.60268042,0.891425353,0
-44,2,1,5,22,29,0.272727273,0.454545455,4,3,1,1,0,0,0,0,0,0,0,0,1,1,1.920617453,0.699140835,0.775705053,1
-29,-4,1,11,25,28,0.153846154,0.529411765,3,4,2,3,1,1,0,0,0,0,0,0,1,1,2.206617045,0.691000362,0.7861293,0
-33,2,1,6,33,26,0.333333333,0.5,2,1,0,0,1,0,0,0,0,0,0,0,2,1,2.708285499,0.473631049,1.026030166,1
-26,2,0,1,41,35,0,0.076923077,3,3,1,1,0,0,0,0,0,0,0,0,0,0,4.20722257,0.147756111,1.305560331,0
-1,8,1,12,16,25,0.25,0.411764706,0,1,3,1,1,1,2,0,1,1,2,0,2,1,2.130320596,0.680509506,0.799362864,0
-48,-1,0,3,35,20,0.142857143,0.3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2.53919906,0.478325455,1.021444609,1
0,-7,0,6,36,25,0.25,0.114285714,3,1,2,2,0,4,2,1,2,1,3,1,1,1,6.435508623,0.195958024,1.268102501,0
-34,-13,0,5,36,37,0,0.192307692,3,4,0,1,1,2,0,2,1,1,0,0,1,3,5.278625873,0.287888289,1.193408321,0
-45,-1,0,3,38,34,0.714285714,0.25,1,1,0,0,0,1,0,2,0,0,0,0,1,1,3.374400184,0.329385162,1.158114708,0
-46,-1,0,1,40,32,0.538461538,0.0625,2,2,1,2,0,0,0,0,0,1,0,0,0,1,4.340141924,0.239526783,1.23326657,0
-23,-4,0,5,31,33,0,0.181818182,3,5,1,1,1,3,0,0,1,0,0,1,1,2,4.165492575,0.316252321,1.169399571,1
-42,1,0,7,17,16,0.2,0.7,2,4,3,1,0,0,0,0,0,0,0,0,1,1,0.72291702,0.915289091,0.411608817,0
-50,0,0,6,38,30,1,0.75,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0.584113384,0.931895538,0.369064932,1
-51,-1,1,7,30,35,0.272727273,0.7,1,2,1,1,0,0,0,0,0,0,1,1,2,2,1.766002901,0.603342593,0.890682219,1
-26,-3,0,6,30,40,0.066666667,0.315789474,2,3,0,2,2,0,0,0,1,1,0,1,2,2,3.15492668,0.615212309,0.877254456,0
-43,-3,1,5,29,27,1,0.416666667,0,1,0,2,1,1,0,0,0,0,0,0,0,1,2.361511128,0.616910947,0.875316003,1
-70,-2,1,3,20,12,0.6,0.6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1.467741263,0.712115666,0.75879422,1
-47,0,1,3,30,13,0,0.272727273,0,3,2,1,1,0,0,0,0,0,1,0,0,0,2.655095922,0.452205464,1.046703908,1
-48,0,1,6,21,36,0.222222222,0.6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1.46056428,0.734544406,0.728636526,0
-15,-3,0,10,27,44,1,0.409090909,0,0,1,5,3,3,0,1,1,1,1,1,1,0,3.423312556,0.556735934,0.941556229,1
-50,-1,1,3,25,27,0,0.25,2,1,2,1,0,1,0,0,0,0,0,1,0,0,3.058533173,0.341864152,1.147288846,0
-20,-6,0,8,14,31,0.333333333,0.25,2,4,2,2,2,2,0,2,1,0,1,1,1,2,4.457801567,0.380135807,1.113430907,0
32,0,1,41,27,27,0.090909091,0.466666667,8,8,0,0,0,0,0,0,2,2,0,0,3,3,0.479018608,0.942635293,0.338717306,1
-23,-3,0,2,21,31,0.285714286,0.086956522,1,5,1,0,1,2,0,0,0,0,1,0,0,2,5.512800568,0.209445169,1.257421832,0
17,14,1,5,43,46,0,0.153846154,4,3,2,0,0,0,1,0,0,0,1,0,5,1,5.265913364,0.219000613,1.249799493,0
-31,-4,0,6,26,40,1,0.263157895,1,1,1,3,3,1,0,1,0,0,1,0,1,2,3.588591749,0.437145067,1.060994753,1
-29,-4,0,5,35,35,0.083333333,0.263157895,3,5,2,0,1,3,0,0,0,2,0,0,2,0,3.895115081,0.482560202,1.01729032,1
-41,0,1,6,38,34,0.636363636,0.6,3,2,0,1,1,0,0,0,0,0,0,0,1,1,1.500559682,0.748504256,0.709218929,1
-51,-6,1,6,21,27,0.272727273,0.333333333,0,2,2,2,1,0,1,0,0,0,0,0,0,2,3.103244091,0.508209817,0.991756203,1
-53,0,1,5,34,32,1,0.555555556,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1.610708322,0.664411247,0.819254238,0
3,9,1,5,33,36,0.333333333,0.227272727,2,1,2,1,0,0,1,0,0,0,0,0,2,2,4.219725344,0.419252966,1.077726342,1
